YEAR,STATE,BENE_GEO_CD,BENES_MA_CNT,BENE_AVG_AGE,BENE_FEML_PCT,BENE_MALE_PCT,BENE_DUAL_PCT,BENES_OP_CNT,BENES_OP_PCT,OP_VISITS_PER_1000_BENES,BENES_ER_VISITS_CNT,BENES_ER_VISITS_PCT,ER_VISITS_PER_1000_BENES
2019,UT,49.0,149952,72,0.5494,0.4506,0.1088,101634,0.6778,3767.8657,35355,0.2358,235.7754
2019,VA,51.0,324381,71,0.5705,0.4295,0.1859,202925,0.6256,3560.4644,139112,0.4289,428.8537
2019,VI,78.0,367,73,0.5095,0.4905,,162,0.4414,2525.8856,85,0.2316,231.6076
2019,VT,50.0,17467,73,0.5419,0.4581,0.106,14848,0.8501,6378.8859,5957,0.341,341.0431
2019,WA,53.0,457651,72,0.5635,0.4365,0.1652,252991,0.5528,3096.0754,138045,0.3016,301.6381
2019,WI,55.0,513392,74,0.5542,0.4458,0.1181,351426,0.6845,5223.081,154247,0.3004,300.4468
2019,WV,54.0,147257,72,0.5457,0.4543,0.1216,107284,0.7285,5862.8384,57404,0.3898,389.8219
2019,WY,56.0,4677,74,0.5288,0.4712,0.1035,2854,0.6102,3864.443,1584,0.3387,338.6786
2020,AK,2.0,1673,75,0.5009,0.4991,0.0986,874,0.5224,3095.0389,621,0.3712,371.1895
2020,AL,1.0,485886,70,0.5721,0.4279,0.2524,304475,0.6266,2787.6683,163280,0.336,336.0459
2020,AR,5.0,189409,69,0.559,0.441,0.3243,124903,0.6594,3666.4572,71774,0.3789,378.9366
2020,AZ,4.0,583980,72,0.5617,0.4383,0.269,238671,0.4087,1750.4349,166175,0.2846,284.556
2020,CA,6.0,2893692,74,0.5605,0.4395,0.193,1333187,0.4607,1798.7084,738376,0.2552,255.1674
2020,CO,8.0,408647,73,0.5621,0.4379,0.1316,193339,0.4731,2310.3779,104083,0.2547,254.7015
2020,CT,9.0,309104,74,0.5689,0.4311,0.3045,207975,0.6728,4064.949,97907,0.3167,316.7445
2020,DC,11.0,19816,72,0.6094,0.3906,0.5929,9302,0.4694,2872.83,9795,0.4943,494.2975
2020,DE,10.0,40094,72,0.5575,0.4425,0.2237,25166,0.6277,3372.4248,13880,0.3462,346.1865
2020,FL,12.0,2263862,73,0.5554,0.4446,0.2628,901515,0.3982,1692.8753,675230,0.2983,298.2646
2020,GA,13.0,754641,71,0.5854,0.4146,0.2679,457238,0.6059,3132.2867,260952,0.3458,345.7962
2020,HI,15.0,132003,75,0.5652,0.4348,0.2342,84214,0.638,3111.6869,35704,0.2705,270.4787
2020,IA,19.0,159824,73,0.5492,0.4508,0.1979,101073,0.6324,4571.0657,39850,0.2493,249.3368
2020,ID,16.0,128977,73,0.5532,0.4468,0.151,99919,0.7747,5783.7444,30958,0.24,240.0273
2020,IL,17.0,673548,73,0.5671,0.4329,0.1947,438128,0.6505,4058.5838,218930,0.325,325.0399
2020,IN,18.0,458178,72,0.5586,0.4414,0.1889,342472,0.7475,4868.3241,158605,0.3462,346.1646
2020,KS,20.0,115207,72,0.5541,0.4459,0.1823,66568,0.5778,3581.614,36236,0.3145,314.5295
